Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
'De Novo' Post-Translational Protein Folding (GO:0051084)	3/32	7.148382118872598E-4	0.022185514504643882	0	0	19.201740251369642	139.0869283360442	HSPA9;SDF2L1;HSPA5
Gluconeogenesis (GO:0006094)	3/32	7.148382118872598E-4	0.022185514504643882	0	0	19.201740251369642	139.0869283360442	CRY1;SLC39A14;PCK2
Tetrahydrofolate Interconversion (GO:0035999)	2/8	8.213710590984352E-4	0.023792381678551338	0	0	61.370370370370374	436.0079805101207	MTHFD2;SHMT2
Proline Transport (GO:0015824)	2/8	8.213710590984352E-4	0.023792381678551338	0	0	61.370370370370374	436.0079805101207	SLC6A17;SLC36A4
Cellular Response To Glucose Stimulus (GO:0071333)	3/34	8.555580278578281E-4	0.023983223426079114	0	0	17.961109436237564	126.8729060017378	PTPRN;SLC39A14;PCK2
Hexose Biosynthetic Process (GO:0019319)	3/35	9.320389116524235E-4	0.025310681694561125	0	0	17.39894859813084	121.41222946080661	CRY1;SLC39A14;PCK2
Regulation Of PERK-mediated Unfolded Protein Response (GO:1903897)	2/9	0.0010522575063091515	0.027709447666140988	0	0	52.6005291005291	360.6722240672687	PPP1R15A;HSPA5
Negative Regulation Of Smooth Muscle Cell Proliferation (GO:0048662)	3/37	0.0010976898416405806	0.028055660952519546	0	0	16.373831775700936	111.58025359897806	NDRG4;TPM1;HMOX1
Vascular Transport (GO:0010232)	4/83	0.0011399231431501375	0.028302663182784845	0	0	9.463100071650347	64.1294839236384	SLC24A3;SLC6A17;SLC1A4;SLC7A1
Transport Across Blood-Brain Barrier (GO:0150104)	4/85	0.001245517644387775	0.029971394123250426	0	0	9.228511530398324	61.72216825632225	SLC24A3;SLC6A17;SLC1A4;SLC7A1
Actin Filament Depolymerization (GO:0030042)	2/10	0.0013106018143653811	0.029971394123250426	0	0	46.023148148148145	305.4680074437484	WDR1;DSTN
Serine Family Amino Acid Biosynthetic Process (GO:0009070)	2/10	0.0013106018143653811	0.029971394123250426	0	0	46.023148148148145	305.4680074437484	PSAT1;PSPH
Amino Acid Transmembrane Transport (GO:0003333)	3/42	0.0015898027951935848	0.033829544941445425	0	0	14.271028037383177	91.9645782336093	SLC7A11;SLC7A1;SLC36A4
Tetrahydrofolate Metabolic Process (GO:0046653)	2/11	0.00159610050932021	0.033829544941445425	0	0	40.907407407407405	263.4515499969604	MTHFD2;SHMT2
Maintenance Of Protein Localization In Endoplasmic Reticulum (GO:0035437)	2/11	0.00159610050932021	0.033829544941445425	0	0	40.907407407407405	263.4515499969604	HSPA5;KDELR3
Protein Transport (GO:0015031)	7/313	0.0017307176229801491	0.0351531204406203	0	0	4.349514563106796	27.659516283390047	HSPA9;SEL1L;ARFIP2;ARL5A;PDIA4;HSP90B1;SEC31A
Regulation Of Apoptotic Process (GO:0042981)	11/705	0.0017394524498810968	0.0351531204406203	0	0	3.0733269292347103	19.528487564218388	HSPA9;DNAJC3;CCND2;HSPA5;MORF4L2;WNT5A;ASNS;NUPR1;CALR;SQSTM1;HSP90B1
Folic Acid Metabolic Process (GO:0046655)	2/12	0.001908452567787651	0.03721208258792854	0	0	36.81481481481482	230.51458385146984	MTHFD2;SHMT2
Proteasome-Mediated Ubiquitin-Dependent Protein Catabolic Process (GO:0043161)	7/319	0.001926977809501478	0.03721208258792854	0	0	4.264563106796117	26.661205888125576	HSPA5;DERL3;SEL1L;SYVN1;DNAJB9;CALR;HSP90B1
Regulation Of Response To Endoplasmic Reticulum Stress (GO:1905897)	2/13	0.0022473594016780086	0.0415522408523019	0	0	33.466329966329965	204.07765842262614	NUPR1;MANF
Regulation Of IRE1-mediated Unfolded Protein Response (GO:1903894)	2/13	0.0022473594016780086	0.0415522408523019	0	0	33.466329966329965	204.07765842262614	HSPA5;DNAJB9
Brain Development (GO:0007420)	5/169	0.0024336058538548516	0.04365930936797731	0	0	5.727642276422764	34.47113477448801	NDRG4;SLC6A17;AMIGO3;PHGDH;AFF2
L-glutamate Transmembrane Transport (GO:0015813)	2/14	0.002612524841351922	0.04365930936797731	0	0	30.675925925925927	182.44317223305998	SLC1A4;SLC7A11
Negative Regulation Of Smooth Muscle Cell Migration (GO:0014912)	2/14	0.002612524841351922	0.04365930936797731	0	0	30.675925925925927	182.44317223305998	NDRG4;TPM1
Serine Family Amino Acid Metabolic Process (GO:0009069)	2/14	0.002612524841351922	0.04365930936797731	0	0	30.675925925925927	182.44317223305998	SHMT2;PSPH
Post-Translational Protein Targeting To Endoplasmic Reticulum Membrane (GO:0006620)	2/14	0.002612524841351922	0.04365930936797731	0	0	30.675925925925927	182.44317223305998	HSPA5;HYOU1
L-glutamate Import (GO:0051938)	2/15	0.003003655118608618	0.04745775087401617	0	0	28.314814814814813	164.4503310000054	SLC1A4;SLC7A11
Nucleotide-Sugar Biosynthetic Process (GO:0009226)	2/15	0.003003655118608618	0.04745775087401617	0	0	28.314814814814813	164.4503310000054	GMPPB;PGM3
Folic Acid-Containing Compound Metabolic Process (GO:0006760)	2/15	0.003003655118608618	0.04745775087401617	0	0	28.314814814814813	164.4503310000054	SHMT2;MTHFD2
Ruffle Organization (GO:0031529)	2/16	0.0034204588487804894	0.05124790930328009	0	0	26.29100529100529	149.27981722379184	TPM1;ARFIP2
Protein Localization To Endoplasmic Reticulum (GO:0070972)	2/16	0.0034204588487804894	0.05124790930328009	0	0	26.29100529100529	149.27981722379184	PPP1R15A;HSPA5
Mitophagy (GO:0000423)	2/16	0.0034204588487804894	0.05124790930328009	0	0	26.29100529100529	149.27981722379184	ARFIP2;SQSTM1
Regulation Of Oxidative Phosphorylation (GO:0002082)	2/17	0.003862647016180469	0.05594400428434713	0	0	24.537037037037038	136.33765577647105	SHMT2;NUPR1
Positive Regulation Of Heart Rate (GO:0010460)	2/17	0.003862647016180469	0.05594400428434713	0	0	24.537037037037038	136.33765577647105	ADM2;TPM1
Cellular Response To Oxidative Stress (GO:0034599)	4/117	0.00398821032073941	0.056199923283304844	0	0	6.604441476039406	36.485660299756404	TPM1;HMOX1;SQSTM1;ETV5
Selective Autophagy (GO:0061912)	3/58	0.004009660809625892	0.056199923283304844	0	0	10.111299915038233	55.80475591701284	ARFIP2;CALR;SQSTM1
Glucose Metabolic Process (GO:0006006)	3/59	0.004207732451915285	0.05803999207483148	0	0	9.930240320427236	54.32667041935589	CRY1;SLC39A14;PCK2
Golgi Vesicle Transport (GO:0048193)	5/197	0.004682056929470315	0.06357355424546413	0	0	4.885416666666667	26.205461719892238	SEC24A;HYOU1;KDELR3;SEC24D;SEC31A
Negative Regulation Of Apoptotic Process (GO:0043066)	8/482	0.005162045678550485	0.06901257991785188	0	0	3.2127078679573096	16.91947645147267	HSPA9;DNAJC3;CCND2;HSPA5;WNT5A;ASNS;NUPR1;HSP90B1
Protein Secretion (GO:0009306)	3/67	0.006006931738833608	0.0790912678946425	0	0	8.685455607476635	44.42472606708996	PTPRN;SEL1L;PDIA4
Cellular Response To Hexose Stimulus (GO:0071331)	2/25	0.008280078459513233	0.10739385345249253	0	0	15.99597423510467	76.68314623174774	SLC39A14;PCK2
Response To Insulin (GO:0032868)	3/79	0.009456398674158886	0.11940990008825336	0	0	7.309640924741761	34.070701669056234	TRIB3;SLC39A14;PCK2
Amino Acid Import Across Plasma Membrane (GO:0089718)	2/27	0.009618749144048026	0.11940990008825336	0	0	14.714814814814815	68.33620403380348	SLC1A4;SLC7A1
Positive Regulation Of Mitotic Cell Cycle (GO:0045931)	2/27	0.009618749144048026	0.11940990008825336	0	0	14.714814814814815	68.33620403380348	EIF4EBP1;ASNS
Wound Healing (GO:0042060)	3/80	0.009786121271971534	0.11977661106117272	0	0	7.214346401262289	33.3792664625847	TPM1;WNT5A;HMOX1
Protein Depolymerization (GO:0051261)	2/28	0.01032175176555134	0.12457780950366826	0	0	14.148148148148149	64.70658086107142	WDR1;DSTN
Sarcomere Organization (GO:0045214)	2/29	0.011046849344946	0.13150290521586402	0	0	13.623456790123457	61.38198340466502	WDR1;TPM1
Intrinsic Apoptotic Signaling Pathway In Response To Endoplasmic Reticulum Stress (GO:0070059)	2/30	0.01179378216473054	0.13665062268201117	0	0	13.136243386243386	58.32732222371782	PPP1R15A;TRIB3
Negative Regulation Of Carbohydrate Metabolic Process (GO:0045912)	2/30	0.01179378216473054	0.13665062268201117	0	0	13.136243386243386	58.32732222371782	CRY1;NUPR1
Negative Regulation Of Intracellular Steroid Hormone Receptor Signaling Pathway (GO:0033144)	2/31	0.01256229264860248	0.14208041097826218	0	0	12.682630906768837	55.5125806190384	CRY1;CALR
Negative Regulation Of Cell Migration (GO:0030336)	4/163	0.012589403504402978	0.14208041097826218	0	0	4.682805268778925	20.486803883320295	NDRG4;TPM1;HMOX1;CALR
Protein Localization (GO:0008104)	6/351	0.01305250532302572	0.14360624339462622	0	0	3.2683946488294313	14.18082959668043	HSPA9;WNT5A;ARFIP2;SQSTM1;ARL5A;SEC31A
Cellular Response To Peptide Hormone Stimulus (GO:0071375)	3/89	0.01305511303587511	0.14360624339462622	0	0	6.456422516844165	28.01167602259777	TRIB3;SLC39A14;PCK2
Negative Regulation Of Fat Cell Differentiation (GO:0045599)	2/32	0.013352125349513369	0.14503746160908898	0	0	12.25925925925926	52.9119400822752	WNT5A;TRIB3
Negative Regulation Of Small Molecule Metabolic Process (GO:0062014)	2/33	0.0141630269317427	0.15009354150834642	0	0	11.863201911589009	50.50307942703226	CRY1;NUPR1
Inositol Lipid-Mediated Signaling (GO:0048017)	2/33	0.0141630269317427	0.15009354150834642	0	0	11.863201911589009	50.50307942703226	PITPNM2;KCNH1
Positive Regulation Of Neuron Death (GO:1901216)	2/34	0.014994746153758943	0.156993185633934	0	0	11.491898148148149	48.26660882339106	WNT5A;NUPR1
Cellular Response To Insulin Stimulus (GO:0032869)	3/99	0.017335698357576482	0.17796643484551586	0	0	5.780957943925234	23.441711707353846	TRIB3;SLC39A14;PCK2
Regulation Of Ossification (GO:0030278)	2/37	0.01761232841969432	0.17796643484551586	0	0	10.505291005291005	42.43251070607915	WNT5A;SGMS2
Regulation Of Phosphoprotein Phosphatase Activity (GO:0043666)	2/37	0.01761232841969432	0.17796643484551586	0	0	10.505291005291005	42.43251070607915	PPP1R15A;HSP90B1
Positive Regulation Of Production Of Molecular Mediator Of Immune Response (GO:0002702)	2/38	0.018524847231540142	0.18183271812980692	0	0	10.212962962962964	40.73585663844716	WNT5A;DNAJB9
Import Into Cell (GO:0098657)	2/38	0.018524847231540142	0.18183271812980692	0	0	10.212962962962964	40.73585663844716	SLC7A1;SLC39A14
Carboxylic Acid Transmembrane Transport (GO:1905039)	2/39	0.019456958422619304	0.18183271812980692	0	0	9.936436436436436	39.145093264337426	SLC7A11;SLC36A4
Positive Regulation Of ATP-dependent Activity (GO:0032781)	2/39	0.019456958422619304	0.18183271812980692	0	0	9.936436436436436	39.145093264337426	TPM1;DNAJB11
Positive Regulation Of Vasculature Development (GO:1904018)	3/104	0.01973584222584838	0.18183271812980692	0	0	5.493383917831036	21.56328368475938	ADM2;WNT5A;HMOX1
Central Nervous System Development (GO:0007417)	5/283	0.020131226123767443	0.18183271812980692	0	0	3.3593696471394314	13.119961487406846	NDRG4;SLC6A17;AMIGO3;PHGDH;AFF2
Regulation Of Protein Dephosphorylation (GO:0035304)	2/40	0.020408423025084537	0.18183271812980692	0	0	9.674463937621832	37.651151987765736	PPP1R15A;HSP90B1
Water-Soluble Vitamin Metabolic Process (GO:0006767)	2/40	0.020408423025084537	0.18183271812980692	0	0	9.674463937621832	37.651151987765736	SHMT2;MTHFD2
Response To Calcium Ion (GO:0051592)	3/106	0.020744703029674336	0.18183271812980692	0	0	5.386171853733781	20.8739169513387	WNT5A;KCNH1;SEC31A
Intracellular Monoatomic Cation Homeostasis (GO:0030003)	4/190	0.020895651841640803	0.18183271812980692	0	0	3.997565429093122	15.463439308319193	SLC24A3;HMOX1;CALR;SLC39A14
Regulation Of Cellular Response To Stress (GO:0080135)	3/107	0.021259607049848892	0.18183271812980692	0	0	5.33411214953271	20.541379922433855	CRY1;NUPR1;MANF
Regulation Of Chemokine Production (GO:0032642)	2/41	0.021379004061410908	0.18183271812980692	0	0	9.425925925925926	36.24594615204964	WNT5A;HMOX1
Cellular Response To Salt (GO:1902075)	3/109	0.022310372700201392	0.18183271812980692	0	0	5.232939516840063	19.899317756928095	WNT5A;KCNH1;HSP90B1
Cellular Response To Glucose Starvation (GO:0042149)	2/42	0.02236846653259194	0.18183271812980692	0	0	9.189814814814815	34.92224336189293	HSPA5;BHLHA15
Intracellular Glucose Homeostasis (GO:0001678)	2/43	0.023376577412622876	0.18183271812980692	0	0	8.965221318879856	33.67355706170915	SLC39A14;PCK2
Regulation Of Cellular Component Size (GO:0032535)	2/43	0.023376577412622876	0.18183271812980692	0	0	8.965221318879856	33.67355706170915	PPP1R15A;VAV3
Nucleobase-Containing Compound Catabolic Process (GO:0034655)	2/44	0.02440310561665694	0.18183271812980692	0	0	8.751322751322752	32.49405409486774	ISG20;ENTPD7
Establishment Of Protein Localization To Extracellular Region (GO:0035592)	2/45	0.02544782200612408	0.18183271812980692	0	0	8.547372954349699	31.37847555395965	SEL1L;PDIA4
Response To Glucose (GO:0009749)	2/46	0.026510499355673414	0.18183271812980692	0	0	8.352693602693602	30.322068782022388	SLC39A14;PCK2
Intracellular Protein Transmembrane Transport (GO:0065002)	2/46	0.026510499355673414	0.18183271812980692	0	0	8.352693602693602	30.322068782022388	HSPA5;HYOU1
Myofibril Assembly (GO:0030239)	2/46	0.026510499355673414	0.18183271812980692	0	0	8.352693602693602	30.322068782022388	WDR1;TPM1
Negative Regulation Of Erythrocyte Differentiation (GO:0045647)	1/5	0.027201672447497008	0.18183271812980692	0	0	45.61009174311926	164.4005184703249	HSPA9
Negative Regulation Of Glucocorticoid Receptor Signaling Pathway (GO:2000323)	1/5	0.027201672447497008	0.18183271812980692	0	0	45.61009174311926	164.4005184703249	CRY1
GDP-mannose Metabolic Process (GO:0019673)	1/5	0.027201672447497008	0.18183271812980692	0	0	45.61009174311926	164.4005184703249	GMPPB
L-aspartate Import Across Plasma Membrane (GO:0140009)	1/5	0.027201672447497008	0.18183271812980692	0	0	45.61009174311926	164.4005184703249	SLC1A4
L-aspartate Transmembrane Transport (GO:0070778)	1/5	0.027201672447497008	0.18183271812980692	0	0	45.61009174311926	164.4005184703249	SLC1A4
L-ornithine Transmembrane Transport (GO:1903352)	1/5	0.027201672447497008	0.18183271812980692	0	0	45.61009174311926	164.4005184703249	SLC7A1
Negative Regulation Of Trophoblast Cell Migration (GO:1901164)	1/5	0.027201672447497008	0.18183271812980692	0	0	45.61009174311926	164.4005184703249	CALR
Aromatic Compound Biosynthetic Process (GO:0019438)	1/5	0.027201672447497008	0.18183271812980692	0	0	45.61009174311926	164.4005184703249	PSAT1
Basic Amino Acid Transport (GO:0015802)	1/5	0.027201672447497008	0.18183271812980692	0	0	45.61009174311926	164.4005184703249	SLC7A1
Regulation Of Protein Depolymerization (GO:1901879)	1/5	0.027201672447497008	0.18183271812980692	0	0	45.61009174311926	164.4005184703249	WDR1
Ornithine Transport (GO:0015822)	1/5	0.027201672447497008	0.18183271812980692	0	0	45.61009174311926	164.4005184703249	SLC7A1
Pexophagy (GO:0000425)	1/5	0.027201672447497008	0.18183271812980692	0	0	45.61009174311926	164.4005184703249	SQSTM1
Short-Chain Fatty Acid Catabolic Process (GO:0019626)	1/5	0.027201672447497008	0.18183271812980692	0	0	45.61009174311926	164.4005184703249	PCK2
Sphingomyelin Biosynthetic Process (GO:0006686)	1/5	0.027201672447497008	0.18183271812980692	0	0	45.61009174311926	164.4005184703249	SGMS2
tRNA Transport (GO:0051031)	1/5	0.027201672447497008	0.18183271812980692	0	0	45.61009174311926	164.4005184703249	XPOT
Hepatocyte Differentiation (GO:0070365)	1/5	0.027201672447497008	0.18183271812980692	0	0	45.61009174311926	164.4005184703249	PCK2
Inflammatory Response To Wounding (GO:0090594)	1/5	0.027201672447497008	0.18183271812980692	0	0	45.61009174311926	164.4005184703249	HMOX1
Protein Targeting To Vacuole Involved In Autophagy (GO:0071211)	1/5	0.027201672447497008	0.18183271812980692	0	0	45.61009174311926	164.4005184703249	SQSTM1
Proton-Transporting V-type ATPase Complex Assembly (GO:0070070)	1/5	0.027201672447497008	0.18183271812980692	0	0	45.61009174311926	164.4005184703249	VMA21
Purine Nucleobase Biosynthetic Process (GO:0009113)	1/5	0.027201672447497008	0.18183271812980692	0	0	45.61009174311926	164.4005184703249	SHMT2
Negative Regulation Of PERK-mediated Unfolded Protein Response (GO:1903898)	1/5	0.027201672447497008	0.18183271812980692	0	0	45.61009174311926	164.4005184703249	PPP1R15A
Negative Regulation Of Cardiac Muscle Cell Apoptotic Process (GO:0010667)	1/5	0.027201672447497008	0.18183271812980692	0	0	45.61009174311926	164.4005184703249	NUPR1
Negative Regulation Of Cellular Response To Hypoxia (GO:1900038)	1/5	0.027201672447497008	0.18183271812980692	0	0	45.61009174311926	164.4005184703249	HYOU1
Response To Organonitrogen Compound (GO:0010243)	2/47	0.02759091235829234	0.18302673923172552	0	0	8.166666666666666	29.32052872001112	SEL1L;SYVN1
Positive Regulation Of Angiogenesis (GO:0045766)	3/119	0.027983204335106874	0.1842227618727869	0	0	4.779407025459233	17.091880228757773	ADM2;WNT5A;HMOX1
Autophagy Of Mitochondrion (GO:0000422)	2/49	0.0298040535312284	0.19473475577922916	0	0	7.818360914105595	27.46676871436148	ARFIP2;SQSTM1
Intracellular Iron Ion Homeostasis (GO:0006879)	2/50	0.03093634050099251	0.1959177091643701	0	0	7.655092592592593	26.607752397672005	HMOX1;SLC39A14
Cellular Response To Starvation (GO:0009267)	3/126	0.032368234016341285	0.1959177091643701	0	0	4.50581262821974	15.457540632369055	HSPA5;ASNS;BHLHA15
Regulation Of Glucocorticoid Receptor Signaling Pathway (GO:2000322)	1/6	0.0325533835200698	0.1959177091643701	0	0	36.48623853211009	124.96076851480254	CRY1
Aggrephagy (GO:0035973)	1/6	0.0325533835200698	0.1959177091643701	0	0	36.48623853211009	124.96076851480254	SQSTM1
Nucleobase Biosynthetic Process (GO:0046112)	1/6	0.0325533835200698	0.1959177091643701	0	0	36.48623853211009	124.96076851480254	SHMT2
Polyamine Biosynthetic Process (GO:0006596)	1/6	0.0325533835200698	0.1959177091643701	0	0	36.48623853211009	124.96076851480254	SRM
Serine Transport (GO:0032329)	1/6	0.0325533835200698	0.1959177091643701	0	0	36.48623853211009	124.96076851480254	SLC1A4
Galactose Metabolic Process (GO:0006012)	1/6	0.0325533835200698	0.1959177091643701	0	0	36.48623853211009	124.96076851480254	SLC35A2
Insulin Secretion Involved In Cellular Response To Glucose Stimulus (GO:0035773)	1/6	0.0325533835200698	0.1959177091643701	0	0	36.48623853211009	124.96076851480254	PTPRN
Macrophage Derived Foam Cell Differentiation (GO:0010742)	1/6	0.0325533835200698	0.1959177091643701	0	0	36.48623853211009	124.96076851480254	WNT5A
Pyrimidine Nucleotide-Sugar Transmembrane Transport (GO:0090481)	1/6	0.0325533835200698	0.1959177091643701	0	0	36.48623853211009	124.96076851480254	SLC35A2
Cell Cycle G1/S Phase Transition (GO:0044843)	2/52	0.033251258125220444	0.1959177091643701	0	0	7.348148148148148	25.010617576664316	CCND2;EIF4EBP1
Intracellular Protein Transport (GO:0006886)	5/325	0.033796298999577624	0.1959177091643701	0	0	2.912202380952381	9.864805934470716	HSPA9;ARFIP2;CALR;ARL5A;SEC31A
Actin Polymerization Or Depolymerization (GO:0008154)	2/53	0.034433458665282725	0.1959177091643701	0	0	7.203703703703703	24.26730793715723	WDR1;DSTN
Carboxylic Acid Transport (GO:0046942)	2/53	0.034433458665282725	0.1959177091643701	0	0	7.203703703703703	24.26730793715723	SLC1A4;SLC7A1
Positive Regulation Of Chemokine Production (GO:0032722)	2/53	0.034433458665282725	0.1959177091643701	0	0	7.203703703703703	24.26730793715723	WNT5A;HMOX1
Negative Regulation Of Protein Modification By Small Protein Conjugation Or Removal (GO:1903321)	2/54	0.035631869982316926	0.1959177091643701	0	0	7.064814814814815	23.557729682017335	CRY1;SQSTM1
Negative Regulation Of Protein Ubiquitination (GO:0031397)	2/54	0.035631869982316926	0.1959177091643701	0	0	7.064814814814815	23.557729682017335	CRY1;SQSTM1
Regulation Of Smooth Muscle Cell Proliferation (GO:0048660)	2/54	0.035631869982316926	0.1959177091643701	0	0	7.064814814814815	23.557729682017335	NDRG4;HMOX1
Plasma Membrane Bounded Cell Projection Organization (GO:0120036)	3/132	0.03639591549130929	0.1959177091643701	0	0	4.2949358835035865	14.230405575657631	TPM1;ARFIP2;MANF
Ceramide Metabolic Process (GO:0006672)	2/55	0.036846281540573275	0.1959177091643701	0	0	6.931167016072677	22.87978629458264	ORMDL2;SGMS2
Regulation Of Cyclic-Nucleotide Phosphodiesterase Activity (GO:0051342)	1/7	0.037875920759049685	0.1959177091643701	0	0	30.40366972477064	99.52457965410602	SLC39A14
Regulation Of Dendritic Cell Chemotaxis (GO:2000508)	1/7	0.037875920759049685	0.1959177091643701	0	0	30.40366972477064	99.52457965410602	CALR
Negative Regulation Of Neural Precursor Cell Proliferation (GO:2000178)	1/7	0.037875920759049685	0.1959177091643701	0	0	30.40366972477064	99.52457965410602	WNT5A
Negative Regulation Of Striated Muscle Cell Apoptotic Process (GO:0010664)	1/7	0.037875920759049685	0.1959177091643701	0	0	30.40366972477064	99.52457965410602	NUPR1
Aromatic Amino Acid Transport (GO:0015801)	1/7	0.037875920759049685	0.1959177091643701	0	0	30.40366972477064	99.52457965410602	SLC36A4
Positive Regulation Of Dendritic Cell Chemotaxis (GO:2000510)	1/7	0.037875920759049685	0.1959177091643701	0	0	30.40366972477064	99.52457965410602	CALR
Spermidine Metabolic Process (GO:0008216)	1/7	0.037875920759049685	0.1959177091643701	0	0	30.40366972477064	99.52457965410602	SRM
Foam Cell Differentiation (GO:0090077)	1/7	0.037875920759049685	0.1959177091643701	0	0	30.40366972477064	99.52457965410602	WNT5A
Glycine Metabolic Process (GO:0006544)	1/7	0.037875920759049685	0.1959177091643701	0	0	30.40366972477064	99.52457965410602	SHMT2
Positive Regulation Of Neuron Projection Arborization (GO:0150012)	1/7	0.037875920759049685	0.1959177091643701	0	0	30.40366972477064	99.52457965410602	WNT5A
Post-Translational Protein Targeting To Membrane, Translocation (GO:0031204)	1/7	0.037875920759049685	0.1959177091643701	0	0	30.40366972477064	99.52457965410602	HYOU1
Postsynapse Organization (GO:0099173)	1/7	0.037875920759049685	0.1959177091643701	0	0	30.40366972477064	99.52457965410602	WNT5A
